entity1,relation,entity2
tarantino noun,instance hypernym,film maker noun
big h noun,hypernym,heroin noun
utmost noun,hypernym,limit noun
plural noun,member of domain usage,tights noun
filicopsida noun,member meronym,dryopteridaceae noun
pezizaceae noun,hypernym,fungus family noun
first gear noun,hypernym,gear noun
empress noun,hypernym,emperor noun
bromeliaceae noun,member meronym,tillandsia noun
daub noun,derivationally related form,daub verb
fetal movement noun,hypernym,motion noun
vent verb,derivationally related form,public discussion noun
bend verb,hypernym,turn verb
smiler noun,hypernym,person noun
colloquialism noun,member of domain usage,aggro noun
trigger noun,derivationally related form,trip verb
buy verb,also see,stock verb
tank verb,hypernym,store verb
combine verb,derivationally related form,trust noun
eastern chipmunk noun,hypernym,squirrel noun
override verb,derivationally related form,nullification noun
dispatcher noun,hypernym,employee noun
think of verb,derivationally related form,reputation noun
colt noun,hypernym,foal noun
tantalum noun,hypernym,metallic element noun
grasping noun,derivationally related form,grasp verb
hoopoe noun,hypernym,coraciiform bird noun
scorer noun,hypernym,lumberman noun
decrease verb,derivationally related form,decrease noun
surrogate noun,derivationally related form,supplant verb
compositae noun,member meronym,carlina noun
malvaceae noun,member meronym,thespesia noun
murder verb,derivationally related form,murderer noun
parody noun,derivationally related form,spoof verb
inconstant adjective,derivationally related form,faithlessness noun
stamp verb,hypernym,impress verb
thoroughbred noun,hypernym,animal noun
cowpea noun,has part,cowpea noun
wonder verb,derivationally related form,doubt noun
rugby noun,has part,knock on noun
valvule noun,hypernym,valve noun
hunk noun,hypernym,part noun
luxemburger noun,hypernym,european noun
unfavorable adjective,also see,negative adjective
seaport noun,has part,anchorage noun
approbation noun,hypernym,approval noun
train verb,hypernym,exercise verb
paint verb,derivationally related form,painting noun
pacify verb,derivationally related form,conciliation noun
thessaloniki noun,instance hypernym,city noun
sophistication noun,derivationally related form,twist verb
lip off verb,hypernym,talk verb
balanus noun,member meronym,acorn barnacle noun
gingiva noun,hypernym,animal tissue noun
montia noun,member meronym,indian lettuce noun
shallot noun,hypernym,onion noun
ethic noun,has part,principle noun
twirl verb,derivationally related form,whirl noun
syntax noun,hypernym,grammar noun
arrest noun,derivationally related form,check verb
feminist movement noun,derivationally related form,feminist noun
drive verb,verb group,drive verb
burglar noun,hypernym,thief noun
malacopterygii noun,hypernym,animal order noun
raoulia noun,member meronym,sheep plant noun
cavity noun,hypernym,structure noun
bannister noun,hypernym,barrier noun
trichosurus noun,hypernym,mammal genus noun
injunction noun,hypernym,prohibition noun
run verb,derivationally related form,footrace noun
gearshift noun,derivationally related form,shift verb
domestic goat noun,hypernym,goat noun
blennioidea noun,member meronym,anarhichadidae noun
distress signal noun,hypernym,signal noun
greece noun,instance hypernym,balkan country noun
palliative noun,hypernym,remedy noun
suffocation noun,derivationally related form,smother verb
chase noun,instance hypernym,politician noun
radiance noun,derivationally related form,shine verb
worsen verb,derivationally related form,decline noun
monosemy noun,hypernym,clarity noun
markup language noun,hypernym,terminology noun
trawler noun,derivationally related form,haul verb
cycle noun,derivationally related form,oscillate verb
count verb,derivationally related form,count noun
communize verb,derivationally related form,commune noun
solar system noun,member meronym,jupiter noun
harmony noun,derivationally related form,harmonious adjective
letter noun,has part,postscript noun
tint verb,derivationally related form,tincture noun
desire noun,hypernym,feeling noun
tip off verb,hypernym,rede verb
santalales noun,member meronym,santalaceae noun
right to vote noun,hypernym,franchise noun
coelacanth noun,hypernym,crossopterygian noun
labiatae noun,member meronym,genus elsholtzia noun
athyrium noun,hypernym,fern genus noun
coming attraction noun,hypernym,movie noun
prostitute noun,derivationally related form,prostitute verb
compound verb,hypernym,mix verb
lebanon noun,member of domain region,tabbouleh noun
mare noun,hypernym,horse noun
brain noun,has part,brain cell noun
great britain noun,has part,scotland noun
fingerprint noun,hypernym,mark noun
pitch noun,hypernym,throw noun
slack verb,derivationally related form,slacker noun
gastrophryne noun,member meronym,western narrow-mouthed toad noun
hebrew alphabet noun,has part,qoph noun
stations noun,hypernym,series noun
saxifragaceae noun,member meronym,chrysosplenium noun
care noun,derivationally related form,care verb
scientific knowledge noun,has part,science noun
bryophyta noun,member meronym,bryopsida noun
adventurousness noun,hypernym,boldness noun
brazil noun,has part,triple frontier noun
spit verb,hypernym,expectorate verb
slagheap noun,hypernym,pile noun
educational institution noun,hypernym,institution noun
security force noun,hypernym,force noun
fissipedia noun,hypernym,placental noun
leo xiii noun,instance hypernym,pope noun
papua new guinea noun,has part,bismarck archipelago noun
trespass verb,hypernym,transgress verb
sweet flag noun,has part,calamus noun
moment noun,hypernym,time noun
wrap verb,derivationally related form,swathe noun
all fours noun,hypernym,card game noun
pick noun,hypernym,edge tool noun
murray noun,instance hypernym,philologist noun
reapportion verb,hypernym,allocate verb
cut verb,also see,reduce verb
wash verb,hypernym,remove verb
pass verb,derivationally related form,hand noun
universe noun,has part,extraterrestrial object noun
vein noun,hypernym,blood vessel noun
intractable adjective,also see,disobedient adjective
brandish verb,hypernym,move verb
trade name noun,member of domain usage,isosorbide noun
giving noun,derivationally related form,give verb
contribution noun,hypernym,giving noun
make verb,derivationally related form,micturition noun
repent verb,derivationally related form,penitent adjective
continue verb,hypernym,talk verb
backpacker noun,derivationally related form,backpack noun
catalogue verb,hypernym,classify verb
emberizidae noun,member meronym,plectrophenax noun
sermon noun,derivationally related form,sermonize verb
puppeteer noun,derivationally related form,puppet noun
plural noun,member of domain usage,interest noun
captainship noun,derivationally related form,captain noun
antitype noun,hypernym,kind noun
hydrangeaceae noun,hypernym,rosid dicot family noun
east noun,has part,appalachians noun
roundhead noun,hypernym,person noun
anaerobe noun,hypernym,organism noun
continuance noun,derivationally related form,continue verb
battle noun,hypernym,military action noun
bill poster noun,hypernym,worker noun
artillery noun,derivationally related form,gun verb
altruism noun,derivationally related form,altruistic adjective
istiophoridae noun,member meronym,billfish noun
barricade verb,hypernym,obstruct verb
compositae noun,member meronym,lonas noun
noctuidae noun,member meronym,corn earworm noun
mysticism noun,derivationally related form,mystic adjective
tannin noun,hypernym,phenol noun
tarsiidae noun,hypernym,mammal family noun
sphyrnidae noun,hypernym,fish family noun
caribbean noun,has part,jamaica noun
lithophragma noun,hypernym,rosid dicot genus noun
lug noun,instance hypernym,celtic deity noun
implication noun,derivationally related form,incriminate verb
attraction noun,hypernym,quality noun
young fish noun,hypernym,young noun
market verb,derivationally related form,grocery store noun
sting noun,derivationally related form,prick verb
concubine noun,hypernym,mistress noun
lepidoptera noun,hypernym,animal order noun
gluteus noun,hypernym,skeletal muscle noun
offensiveness noun,derivationally related form,offensive adjective
rent verb,derivationally related form,renter noun
feminist noun,hypernym,reformer noun
momotidae noun,hypernym,bird family noun
shoot noun,derivationally related form,shoot verb
poeciliidae noun,member meronym,platypoecilus noun
coat of paint noun,hypernym,coating noun
kook noun,hypernym,anomaly noun
ordain verb,derivationally related form,ordainer noun
upper deck noun,hypernym,deck noun
hypermastigote noun,hypernym,flagellate noun
kill verb,derivationally related form,destruction noun
vietnam noun,instance hypernym,asian country noun
tenure noun,hypernym,term noun
jatropha noun,hypernym,rosid dicot genus noun
pasture noun,derivationally related form,crop verb
brown noun,hypernym,chromatic color noun
coalescence noun,derivationally related form,concrete verb
ensemble noun,hypernym,collection noun
intoxicated adjective,derivationally related form,drunkard noun
reallotment noun,hypernym,allotment noun
backpack noun,hypernym,bag noun
courage noun,derivationally related form,brave adjective
thin out verb,hypernym,reduce verb
loganberry noun,hypernym,western blackberry noun
baseball equipment noun,hypernym,sports equipment noun
